"學年度","設立別","學程別","群科別","畢業生人數","農_林_漁_牧業人數","礦業及土石採取業人數","製造業人數","電力及燃氣供應業人數","用水供應及污染整治業人數","營建工程業人數","批發及零售業人數","運輸及倉儲業人數","住宿及餐飲業人數","出版影音及資通訊業人數","金融及保險業人數","不動產業人數","專業_科學及技術服務業人數","支援服務業人數","公共行政及國防_強制性社會安全人數","教育業人數","醫療保健及社會工作服務業人數","藝術_娛樂及休閒服務業人數","其他服務業人數","就業率","農_林_漁_牧業比率","礦業及土石採取業比率","製造業比率","電力及燃氣供應業比率","用水供應及污染整治業比率","營建工程業比率","批發及零售業比率","運輸及倉儲業比率","住宿及餐飲業比率","出版影音及資通訊業比率","金融及保險業比率","不動產業比率","專業_科學及技術服務業比率","支援服務業比率","公共行政及國防_強制性社會安全比率","教育業比率","醫療保健及社會工作服務業比率","藝術_娛樂及休閒服務業比率","其他服務業比率"
109,縣市立,專業群科,土木與建築群,548,1,0,1,0,0,9,1,0,1,0,0,0,1,1,3,0,0,0,0,3.28467153284672,0.182481751824818,0,0.182481751824818,0,0,1.64233576642336,0.182481751824818,0,0.182481751824818,0,0,0,0.182481751824818,0.182481751824818,0.547445255474453,0,0,0,0
109,縣市立,專業群科,商業與管理群,3409,2,0,2,0,0,0,6,1,14,0,3,5,0,0,11,0,1,1,2,1.40803754766794,0.0586682311528307,0,0.0586682311528307,0,0,0,0.176004693458492,0.0293341155764154,0.410677618069815,0,0.0880023467292461,0.146670577882077,0,0,0.322675271340569,0,0.0293341155764154,0.0293341155764154,0.0586682311528307
109,縣市立,專業群科,外語群,571,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.350262697022767,0,0,0,0,0,0,0,0,0,0,0.175131348511384,0,0,0.175131348511384,0,0,0,0,0
109,縣市立,專業群科,設計群,1229,0,0,1,0,0,0,0,0,11,0,0,0,0,2,0,0,1,6,3,1.95280716029292,0,0,0.081366965012205,0,0,0,0,0,0.895036615134255,0,0,0,0,0.16273393002441,0,0,0.081366965012205,0.48820179007323,0.244100895036615
109,縣市立,專業群科,農業群,290,0,0,2,0,0,1,0,0,1,0,0,0,0,0,2,1,0,1,10,6.20689655172414,0,0,0.689655172413793,0,0,0.344827586206897,0,0,0.344827586206897,0,0,0,0,0,0.689655172413793,0.344827586206897,0,0.344827586206897,3.44827586206897
109,縣市立,專業群科,食品群,127,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,9.44881889763779,0,0,0,0,0,0,0,0,9.44881889763779,0,0,0,0,0,0,0,0,0,0
109,縣市立,專業群科,家政群,412,0,0,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,0,0,1.45631067961165,0,0,0,0,0,0,0.485436893203883,0,0.242718446601942,0,0,0,0,0,0.728155339805825,0,0,0,0
109,縣市立,專業群科,餐旅群,240,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,2.08333333333333,0,0,0,0,0,0,0,0,0.833333333333333,0,0,0,0,0.833333333333333,0.416666666666667,0,0,0,0
109,縣市立,專業群科,藝術群,116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,縣市立,專業群科,綜合,472,2,0,19,1,2,2,26,5,56,2,0,0,8,68,1,0,10,2,44,52.5423728813559,0.423728813559322,0,4.02542372881356,0.211864406779661,0.423728813559322,0.423728813559322,5.50847457627119,1.0593220338983,11.864406779661,0.423728813559322,0,0,1.69491525423729,14.406779661017,0.211864406779661,0,2.11864406779661,0.423728813559322,9.32203389830508
109,縣市立,綜合高中,學術群,1868,0,0,0,0,0,0,0,0,7,0,0,0,2,2,8,0,0,3,3,1.33832976445396,0,0,0,0,0,0,0,0,0.374732334047109,0,0,0,0.107066381156317,0.107066381156317,0.428265524625268,0,0,0.160599571734475,0.160599571734475
109,縣市立,綜合高中,機械群,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,縣市立,綜合高中,電機與電子群,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,縣市立,綜合高中,土木與建築群,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,縣市立,綜合高中,商業與管理群,124,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,1,0,4.83870967741936,0,0,0,0,0,0,0,0,1.61290322580645,0,0,0,0,0.806451612903226,1.61290322580645,0,0,0.806451612903226,0
109,縣市立,綜合高中,外語群,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,縣市立,綜合高中,設計群,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.854700854700855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.854700854700855
109,縣市立,綜合高中,農業群,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,縣市立,綜合高中,餐旅群,99,0,0,0,1,0,2,3,0,4,0,0,0,0,2,1,0,0,0,1,14.1414141414141,0,0,0,1.01010101010101,0,2.02020202020202,3.03030303030303,0,4.04040404040404,0,0,0,0,2.02020202020202,1.01010101010101,0,0,0,1.01010101010101
109,縣市立,綜合高中,藝術群,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
